城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","天河区","java开发工程师","9k-15k","经验3-5年 / 本科","南方数码","数据服务｜咨询 / 上市公司 / 500-2000人","","“导师制”"
"广州","天河区","java开发工程师","12k-18k","经验1-3年 / 本科","梓疚网络","网络通信 / C轮 / 150-500人","","“核心项目，六险一金”"
"广州","天河区","Java开发工程师（双休）","15k-25k","经验5-10年 / 本科","京北方","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“双休 五险一金 带薪年假 年度加薪”"
"广州","天河区","java开发工程师","9k-13k","经验1-3年 / 本科","赞同科技","""软件服务｜咨询","数据服务｜咨询 / 不需要融资 / 2000人以上""",""
"广州","天河区","java开发工程师","6k-10k","经验在校/应届 / 本科","极点三维","""软件服务｜咨询","居住服务 / 不需要融资 / 500-2000人""",""
"广州","天河区","java开发工程师","2k-3k","经验在校/应届 / 大专","字言智语","""工具","软件开发 / 不需要融资 / 15-50人""",""
"广州","天河区","Java开发工程师","15k-25k","经验5-10年 / 本科","蓝桥软件","""电商平台","内容社区 / 不需要融资 / 50-150人""",""
"广州","天河区","java开发工程师","12k-18k","经验3-5年 / 本科","京北方","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“周末双休、餐补、加班费、项目奖金”"
"广州","天河区","java开发工程师","15k-20k","经验3-5年 / 大专","佩速达","""IT技术服务｜咨询","生活服务","服务业 / 不需要融资 / 50-150人"""
"广州","天河区","java开发工程师","10k-15k","经验3-5年 / 大专","码码高","""移动互联网","电商 / 不需要融资 / 15-50人""",""
"广州","天河区","java开发工程师","17k-23k","经验5-10年 / 本科","中电金信","""IT技术服务｜咨询","软件服务｜咨询 / B轮 / 2000人以上""",""
"广州","天河区","java开发工程师","10k-15k","经验1-3年 / 本科","美盈智能","""IT技术服务｜咨询","软件服务｜咨询 / 未融资 / 15-50人""",""
"广州","天河区","java开发工程师","10k-15k","经验3-5年 / 本科","趣渔科技","软件开发 / 未融资 / 15-50人","","“牛人带队、发展前景好、扁平化管理”"
"广州","天河区","高级Java开发工程师","15k-25k","经验5-10年 / 本科","天懋信息","信息安全 / A轮 / 50-150人","","“年度旅游 下午茶 团建活动 扁平化管理”"
"广州","天河区","Java开发工程师","13k-18k","经验3-5年 / 本科","煜晨信息","软件开发 / 不需要融资 / 50-150人","","“五险一金，餐补，带薪年假，节日福利，年终奖”"
"广州","天河区","java工程师","12k-15k","经验1-3年 / 本科","拉勾集团","""工具类产品","在线教育 / D轮及以上 / 500-2000人""",""
"广州","天河区","java开发工程师","12k-16k","经验3-5年 / 本科","万丈金数","数据服务｜咨询 / B轮 / 150-500人","","“晋升透明 双休 福利完善”"
"广州","天河区","java开发工程师","10k-15k","经验1-3年 / 本科","数鹏通科技","IT技术服务｜咨询 / 未融资 / 150-500人","","“五险一金 周末双休 上班不打卡 多通道发展”"
"广州","天河区","java开发工程师","6k-8k","经验1-3年 / 大专","码码高","""移动互联网","电商 / 不需要融资 / 15-50人""",""
"广州","天河区","java高级开发工程师","10k-15k","经验3-5年 / 大专","德财软件","""软件服务｜咨询","IT技术服务｜咨询 / 未融资 / 少于15人""",""
"广州","天河区","java开发工程师","6k-9k","经验在校/应届 / 大专","翼迅科技","软件服务｜咨询 / 不需要融资 / 15-50人","","“五险一金 周末双休 定期体检 餐补 交通补”"
"广州","天河区","java工程师","6k-8k","经验在校/应届 / 本科","右岸物联 - 感知世界","物联网 / 未融资 / 少于15人","","“百万级设备接入，网易大牛，90后团队”"
